ID,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSID
0,Question 1,"answer 1 q1","answer 2 q1","answer 3 q1",3
1,Question 2,"answer 1 q2","answer 2 q2","answer 3 q2",2
2,Question 3,"answer 1 q3","answer 2 q3","answer 3 q3",1
3,Question 4,"answer 1 q4","answer 2 q4","answer 3 q4",2
4,Question 5,"answer 1 q5","answer 2 q5","answer 3 q5",3
5,Question 6,"answer 1 q6","answer 2 q6","answer 3 q6",1
6,Question 7,"answer 1 q7","answer 2 q7","answer 3 q7",3
7,Question 8,"answer 1 q8","answer 2 q8","answer 3 q8",1
8,Question 9,"answer 1 q9","answer 2 q9","answer 3 q9",2
9,Question 10,"answer 1 q10","answer 2 q10","answer 3 q10",3
